1241,omeoprazol ion,omeprazol 20 mg,Lab. ion,10 capsulas
3215,buscapina,metamizol sodico,boehringer ingelheim,3 ampollas
2200,xylo efa,lidocaina base 5%,efa laboratorios,anestesico local topico
6048,sertal,propinol dorhidrato 5mg/mL,roemmers,solucion gotas
7820,actron pediatrico,ibuprofeno 4%,bayer,suspension oral
6943,privalgia,ibuprofeno,caillon hamonet,suspension via oral
1581,dioxaflex plus,diclofenac pridinol,gramón bagó,10 comprimidos recubiertos
1324,atomo geldic,diclofenac dietilamina,imvi,gel analgesico
9176,lesterol 10,rosuvastatina 10 mg,noas,28 comprimidos recubiertos ranurados
8452,astende 10 mg,rosuvastatina 10 mg,lazar,20 comprimidos recubiertos
6571,tirox 50,levotiroxina sodica 50 mcg,roemmers,40 comprimidos recubiertos
6444,dorzomed,dorzolamida,libra,solucion olftalmica
6553,aspirina,acido acetilsalicilico 500mg,bayers,10 comprimidos
9421,privalgia fem,ibuprofeno propinoxato clohidrato,caillon hamonet,10 comprimidos
6584,amoxidal 750,amoxicilina 750mg,roemmers,10 comprimidos

